program_id,crop_id,crop_name,resource_tag,harvest_week_num,kg_harvested,units_harvested,seeding_date,transplant_date,harvest_date
896,2,Red Salanova Butterhead,PNQ-GH4,2025-09,null,null,2025-01-06 00:00:00+00,2025-01-30 00:00:00+00,2025-02-24 00:00:00+00
897,3,Red Salanova Frisee,PNQ-GH4,2025-09,null,null,2024-12-30 00:00:00+00,2025-01-27 00:00:00+00,2025-02-24 00:00:00+00
898,1,Red Salanova Oakleaf,PNQ-GH4,2025-09,null,null,2025-01-06 00:00:00+00,2025-01-30 00:00:00+00,2025-02-24 00:00:00+00
896,2,Red Salanova Butterhead,PNQ-GH4,2025-10,80.2,896,2025-01-13 00:00:00+00,2025-02-06 00:00:00+00,2025-03-03 00:00:00+00
897,3,Red Salanova Frisee,PNQ-GH4,2025-10,87.6,760,2025-01-06 00:00:00+00,2025-02-03 00:00:00+00,2025-03-03 00:00:00+00
898,1,Red Salanova Oakleaf,PNQ-GH4,2025-10,84.2,1120,2025-01-13 00:00:00+00,2025-02-06 00:00:00+00,2025-03-03 00:00:00+00
896,2,Red Salanova Butterhead,PNQ-GH4,2025-11,83.3,928,2025-01-20 00:00:00+00,2025-02-13 00:00:00+00,2025-03-10 00:00:00+00
897,3,Red Salanova Frisee,PNQ-GH4,2025-11,82.3,768,2025-01-13 00:00:00+00,2025-02-10 00:00:00+00,2025-03-10 00:00:00+00
898,1,Red Salanova Oakleaf,PNQ-GH4,2025-11,97.6,1152,2025-01-20 00:00:00+00,2025-02-13 00:00:00+00,2025-03-10 00:00:00+00
896,2,Red Salanova Butterhead,PNQ-GH4,2025-12,67.9,912,2025-01-27 00:00:00+00,2025-02-20 00:00:00+00,2025-03-17 00:00:00+00
897,3,Red Salanova Frisee,PNQ-GH4,2025-12,88.7,764,2025-01-20 00:00:00+00,2025-02-17 00:00:00+00,2025-03-17 00:00:00+00
898,1,Red Salanova Oakleaf,PNQ-GH4,2025-12,112.1,1118,2025-01-27 00:00:00+00,2025-02-20 00:00:00+00,2025-03-17 00:00:00+00
896,2,Red Salanova Butterhead,PNQ-GH4,2025-13,69.8,960,2025-02-03 00:00:00+00,2025-02-27 00:00:00+00,2025-03-24 00:00:00+00
897,3,Red Salanova Frisee,PNQ-GH4,2025-13,80.7,800,2025-01-27 00:00:00+00,2025-02-24 00:00:00+00,2025-03-24 00:00:00+00
898,1,Red Salanova Oakleaf,PNQ-GH4,2025-13,89.5,1632,2025-02-03 00:00:00+00,2025-02-27 00:00:00+00,2025-03-24 00:00:00+00
896,2,Red Salanova Butterhead,PNQ-GH4,2025-14,84.8,896,2025-02-10 00:00:00+00,2025-03-06 00:00:00+00,2025-03-31 00:00:00+00
897,3,Red Salanova Frisee,PNQ-GH4,2025-14,85.8,736,2025-02-03 00:00:00+00,2025-03-03 00:00:00+00,2025-03-31 00:00:00+00
898,1,Red Salanova Oakleaf,PNQ-GH4,2025-14,97.8,1088,2025-02-10 00:00:00+00,2025-03-06 00:00:00+00,2025-03-31 00:00:00+00
896,2,Red Salanova Butterhead,PNQ-GH4,2025-15,75.1,922,2025-02-17 00:00:00+00,2025-03-13 00:00:00+00,2025-04-07 00:00:00+00
897,3,Red Salanova Frisee,PNQ-GH4,2025-15,73.4,848,2025-02-10 00:00:00+00,2025-03-10 00:00:00+00,2025-04-07 00:00:00+00
898,1,Red Salanova Oakleaf,PNQ-GH4,2025-15,105.5,1155,2025-02-17 00:00:00+00,2025-03-13 00:00:00+00,2025-04-07 00:00:00+00
896,2,Red Salanova Butterhead,PNQ-GH4,2025-16,38.9,522,2025-02-24 00:00:00+00,2025-03-20 00:00:00+00,2025-04-14 00:00:00+00
897,3,Red Salanova Frisee,PNQ-GH4,2025-16,41.3,448,2025-02-17 00:00:00+00,2025-03-17 00:00:00+00,2025-04-14 00:00:00+00
898,1,Red Salanova Oakleaf,PNQ-GH4,2025-16,47.6,640,2025-02-24 00:00:00+00,2025-03-20 00:00:00+00,2025-04-14 00:00:00+00
896,2,Red Salanova Butterhead,PNQ-GH4,2025-17,71.9,480,2025-03-03 00:00:00+00,2025-03-27 00:00:00+00,2025-04-21 00:00:00+00
897,3,Red Salanova Frisee,PNQ-GH4,2025-17,58.2,736,2025-02-24 00:00:00+00,2025-03-24 00:00:00+00,2025-04-21 00:00:00+00
898,1,Red Salanova Oakleaf,PNQ-GH4,2025-17,94.3,1120,2025-03-03 00:00:00+00,2025-03-27 00:00:00+00,2025-04-21 00:00:00+00
896,2,Red Salanova Butterhead,PNQ-GH4,2025-18,80.1,912,2025-03-10 00:00:00+00,2025-04-03 00:00:00+00,2025-04-28 00:00:00+00
897,3,Red Salanova Frisee,PNQ-GH4,2025-18,66.2,800,2025-03-03 00:00:00+00,2025-03-31 00:00:00+00,2025-04-28 00:00:00+00
898,1,Red Salanova Oakleaf,PNQ-GH4,2025-18,85.5,1152,2025-03-10 00:00:00+00,2025-04-03 00:00:00+00,2025-04-28 00:00:00+00
896,2,Red Salanova Butterhead,PNQ-GH4,2025-19,53.9,887,2025-03-17 00:00:00+00,2025-04-10 00:00:00+00,2025-05-05 00:00:00+00
897,3,Red Salanova Frisee,PNQ-GH4,2025-19,54.9,747,2025-03-10 00:00:00+00,2025-04-07 00:00:00+00,2025-05-05 00:00:00+00
898,1,Red Salanova Oakleaf,PNQ-GH4,2025-19,72.6,622,2025-03-17 00:00:00+00,2025-04-10 00:00:00+00,2025-05-05 00:00:00+00
896,2,Red Salanova Butterhead,PNQ-GH4,2025-20,50.3,896,2025-03-24 00:00:00+00,2025-04-17 00:00:00+00,2025-05-12 00:00:00+00
897,3,Red Salanova Frisee,PNQ-GH4,2025-20,46.1,774,2025-03-17 00:00:00+00,2025-04-14 00:00:00+00,2025-05-12 00:00:00+00
898,1,Red Salanova Oakleaf,PNQ-GH4,2025-20,68.1,1159,2025-03-24 00:00:00+00,2025-04-17 00:00:00+00,2025-05-12 00:00:00+00
896,2,Red Salanova Butterhead,PNQ-GH4,2025-21,68.6,923,2025-03-31 00:00:00+00,2025-04-24 00:00:00+00,2025-05-19 00:00:00+00
897,3,Red Salanova Frisee,PNQ-GH4,2025-21,48.4,755,2025-03-24 00:00:00+00,2025-04-21 00:00:00+00,2025-05-19 00:00:00+00
898,1,Red Salanova Oakleaf,PNQ-GH4,2025-21,66.5,1131,2025-03-31 00:00:00+00,2025-04-24 00:00:00+00,2025-05-19 00:00:00+00
896,2,Red Salanova Butterhead,PNQ-GH4,2025-22,77.7,913,2025-04-07 00:00:00+00,2025-05-01 00:00:00+00,2025-05-26 00:00:00+00
897,3,Red Salanova Frisee,PNQ-GH4,2025-22,64.1,753,2025-03-31 00:00:00+00,2025-04-28 00:00:00+00,2025-05-26 00:00:00+00
